emotion,intensity,context,advice,notes,technique,citation
sadness,mild,general,"I hear that you're going through a tough time. It's important to let yourself feel these emotions rather than suppressing them. Try to do one small thing today that brings you a tiny bit of comfort, like a hot tea, a short walk, or calling a friend. Remember, this feeling is temporary.","Ask the user if they want to talk about what triggered this feeling.","Self-compassion","Psychology Guide"
sadness,moderate,work,"Work-related sadness can be draining. Consider taking a short break to step outside, breathe fresh air, or do a quick mindfulness exercise. Sometimes acknowledging the feeling and giving yourself permission to feel it can help you move forward.","Consider taking a short break.","Mindfulness break","Stress Workbook"
sadness,moderate,relationship,"When sadness stems from relationships, it's important to communicate your feelings. However, first take time to understand what you're feeling and why. Writing down your thoughts can help clarify your emotions before discussing them with others.","It's important to communicate.","Emotional journaling","Coping Skills PDF"
sadness,severe,general,"I understand you're experiencing deep sadness right now. This is a difficult moment, and it's okay to feel this way. Please consider reaching out to someone you trust - a friend, family member, or professional. You don't have to go through this alone.","Reach out to someone you trust.","Social support","Psychology Guide"
sadness,mild,health,"Physical health can impact our emotional state. If you're feeling sad and also experiencing physical symptoms, consider whether rest, nutrition, or medical attention might help. Sometimes our bodies need care before our minds can heal.","Consider physical health factors.","Holistic approach","Stress Workbook"
sadness,moderate,loss,"Grief and loss bring profound sadness. Allow yourself to grieve in your own way and at your own pace. There's no timeline for healing. Consider creating a small ritual or memory to honor what you've lost.","Allow yourself to grieve.","Grief processing","Coping Skills PDF"
joy,mild,achievement,"Celebrate small wins! This creates positive reinforcement and builds resilience. Acknowledge your accomplishment, even if it seems minor. These moments of joy accumulate and strengthen your emotional foundation.","Journal this moment to remember it later.","Gratitude practice","Psychology Guide"
joy,moderate,social,"That is wonderful to hear! Hold onto this feeling. It creates a reservoir of resilience for the future. Why not share this happiness with someone else today? Happiness is often multiplied when shared.","Encourage the user to journal this moment.","Social connection","Psychology Guide"
joy,severe,celebration,"This is a moment of pure joy - savor it! Take mental snapshots of how you feel right now. These memories can serve as anchors during difficult times. Consider expressing your joy creatively through writing, art, or music.","Express joy creatively.","Memory anchoring","Psychology Guide"
joy,mild,daily,"Finding joy in everyday moments is a skill worth cultivating. Notice the small pleasures around you - a warm cup of coffee, a beautiful sky, a kind word. These micro-moments of joy add up to a more positive outlook.","Notice small pleasures.","Mindfulness","Stress Workbook"
joy,moderate,relationship,"Joy shared in relationships deepens connections. Express your happiness to those around you. Your positive energy can uplift others, creating a ripple effect of positivity.","Express happiness to others.","Positive contagion","Psychology Guide"
fear,mild,uncertainty,"It sounds like you are feeling anxious or scared. Take a deep breath with me: inhale for 4 seconds, hold for 4, exhale for 4. Focus on what is in your control right now. Most of the things we fear never actually happen. You are stronger than you think.","Propose a grounding exercise (naming 5 objects around them).","Box breathing","Grounding Techniques PDF"
fear,moderate,performance,"Performance anxiety is common and manageable. Before your event, practice visualization: imagine yourself succeeding. Use the 4-7-8 breathing technique: inhale 4, hold 7, exhale 8. Remember, preparation reduces anxiety.","Practice visualization.","Visualization","Relaxation Skills PDF"
fear,severe,panic,"If you're experiencing panic, remember: this will pass. Find a quiet space if possible. Use the 5-4-3-2-1 technique: name 5 things you see, 4 you can touch, 3 you hear, 2 you smell, 1 you taste. This grounds you in the present moment.","Use 5-4-3-2-1 grounding.","Sensory grounding","Grounding Techniques PDF"
fear,mild,social,"Social fears often stem from worrying about others' opinions. Remember that most people are focused on themselves, not judging you. Start with small social interactions to build confidence gradually.","Start with small interactions.","Gradual exposure","Coping Skills PDF"
fear,moderate,health,"Health-related fears are understandable. Focus on what you can control: following medical advice, maintaining healthy habits, and staying informed from reliable sources. Avoid excessive research that increases anxiety.","Focus on what you can control.","Information management","Stress Workbook"
anger,mild,frustration,"I sense a lot of frustration. Anger is often a signal that a boundary has been crossed. Instead of reacting immediately, try to step back and count to ten. Physical movement, like a quick run or even punching a pillow, can help release this energy safely.","Ask if there is a specific event that caused this anger.","Physical release","Coping Skills PDF"
anger,moderate,conflict,"When anger arises from conflict, pause before responding. Use 'I' statements to express your feelings without blaming: 'I feel frustrated when...' This approach is more likely to lead to resolution than accusations.","Use 'I' statements.","Assertive communication","Psychology Guide"
anger,severe,rage,"Intense anger needs safe expression. Remove yourself from the situation if possible. Engage in vigorous physical activity - running, boxing, or intense exercise. Write down everything you're feeling without censoring, then destroy the paper.","Engage in physical activity.","Cathartic release","Coping Skills PDF"
anger,mild,irritation,"Minor irritations are part of daily life. When you notice yourself getting irritated, take three deep breaths. Ask yourself: 'Will this matter in a week?' Often, the answer helps put things in perspective.","Take three deep breaths.","Perspective taking","Stress Workbook"
anger,moderate,injustice,"Anger about injustice is valid and can be channeled constructively. Consider how you can take action - volunteering, advocacy, or supporting causes. Channeling anger into positive action can be empowering.","Channel into positive action.","Constructive action","Psychology Guide"
love,mild,appreciation,"That is a beautiful emotion. Love and connection are what make us human. Whether it's towards a person, a pet, or a passion, cherish it. Make sure to express this feeling to the person or thing involved; we often assume people know, but hearing it matters.","Suggest sending a nice message to the loved one.","Expression","Psychology Guide"
love,moderate,romantic,"Romantic love brings joy but also vulnerability. Communicate openly with your partner about your feelings and needs. Remember that love grows through shared experiences, mutual respect, and understanding each other's love languages.","Communicate openly.","Open communication","Psychology Guide"
love,severe,passion,"Intense love can be overwhelming. Balance your emotional investment with self-care. Maintain your individual interests and friendships outside the relationship. Healthy love includes space for both partners to grow individually.","Maintain individual interests.","Balance","Coping Skills PDF"
love,mild,friendship,"Friendship love is precious. Nurture these connections through regular check-ins, shared activities, and being present when friends need support. Strong friendships provide a foundation of emotional support throughout life.","Nurture connections.","Relationship maintenance","Psychology Guide"
love,moderate,family,"Family love can be complex. Set healthy boundaries while maintaining connection. Express appreciation for family members, and address conflicts directly but respectfully. Remember that love doesn't mean accepting harmful behavior.","Set healthy boundaries.","Boundary setting","Stress Workbook"
surprise,mild,positive,"Unexpected positive events are delightful! Allow yourself to fully experience this moment of surprise and joy. Share the news with others - positive surprises are even better when shared.","Share the positive surprise.","Celebration","Psychology Guide"
surprise,moderate,neutral,"Unexpected events can be shaking! If it's a neutral surprise, give yourself time to process the new information before reacting. Adaptability is your superpower here. Take a moment to assess the situation calmly.","Give yourself time to process.","Adaptability","Psychology Guide"
surprise,severe,negative,"Shocking negative news requires emotional processing. Don't make major decisions immediately. Reach out to your support network. Write down your thoughts and feelings to help process the information. Give yourself time to adjust.","Don't make major decisions immediately.","Emotional processing","Coping Skills PDF"
surprise,mild,change,"Change, even positive change, can be surprising. Acknowledge any mixed feelings - excitement and anxiety can coexist. Create a plan to navigate the change step by step, which reduces uncertainty and anxiety.","Create a step-by-step plan.","Planning","Stress Workbook"
surprise,moderate,unexpected,"When life surprises you unexpectedly, remember that you've handled surprises before. Draw on past experiences of resilience. Focus on what you can control in this new situation, and seek support if needed.","Draw on past resilience.","Resilience recall","Psychology Guide"
sadness,mild,academic,"Academic pressure can lead to sadness. Remember that your worth isn't defined by grades. Break down overwhelming tasks into smaller steps. Seek help from professors or tutors - asking for help is a strength, not a weakness.","Break tasks into smaller steps.","Task decomposition","Stress Workbook"
sadness,moderate,financial,"Financial stress creates emotional burden. Focus on what you can control: creating a budget, seeking financial advice, or exploring resources. Remember that financial situations can change, and this difficulty is temporary.","Focus on what you can control.","Problem-solving","Coping Skills PDF"
joy,mild,nature,"Nature has a powerful effect on mood. Spend time outdoors - even 10 minutes in nature can boost your mood. Notice the details: the sound of birds, the feel of breeze, the colors around you. Nature connects us to something larger than ourselves.","Spend time outdoors.","Nature therapy","Psychology Guide"
joy,moderate,creativity,"Creative expression amplifies joy. Whether it's writing, drawing, music, or cooking, engaging in creative activities releases dopamine and provides a sense of accomplishment. Your creativity is a gift - use it to process and celebrate emotions.","Engage in creative activities.","Creative expression","Psychology Guide"
fear,mild,public_speaking,"Public speaking anxiety is very common. Prepare thoroughly - knowledge reduces fear. Practice your presentation multiple times. Remember that your audience wants you to succeed. Most people won't notice minor mistakes that feel huge to you.","Prepare and practice thoroughly.","Preparation","Relaxation Skills PDF"
fear,moderate,future,"Future uncertainty creates anxiety. Instead of trying to control everything, focus on building resilience and adaptability. Develop skills that will serve you regardless of what happens. Create flexible plans rather than rigid expectations.","Build resilience and adaptability.","Flexible planning","Stress Workbook"
anger,mild,traffic,"Daily frustrations like traffic can trigger anger. Use this time productively: listen to a podcast, practice deep breathing, or reframe it as 'me time.' Remember that getting angry won't make traffic move faster.","Reframe as 'me time'.","Cognitive reframing","Coping Skills PDF"
anger,moderate,disappointment,"Disappointment often masks as anger. Allow yourself to feel disappointed - it's a valid emotion. Then, identify what you can learn from the situation. Sometimes disappointment teaches us about our values and priorities.","Identify what you can learn.","Learning from experience","Psychology Guide"
love,mild,self_love,"Self-love is foundational. Practice self-compassion by speaking to yourself as you would to a good friend. Engage in activities that nourish your soul. Remember that taking care of yourself isn't selfish - it's necessary for your well-being.","Practice self-compassion.","Self-care","Psychology Guide"
love,moderate,community,"Community love creates belonging. Get involved in groups that share your interests or values. Volunteering connects you to others while making a positive impact. Strong communities provide support during both good and difficult times.","Get involved in groups.","Community engagement","Coping Skills PDF"
surprise,mild,opportunity,"Unexpected opportunities can be exciting but also overwhelming. Take time to evaluate: Does this align with your values and goals? Don't feel pressured to decide immediately. Sometimes the best opportunities are the ones we're ready for.","Evaluate alignment with values.","Value-based decision making","Psychology Guide"
surprise,moderate,technology,"Technology surprises us constantly. When facing new tech challenges, remember that learning curves are normal. Break down the learning into small steps. Seek tutorials or ask for help - everyone was a beginner once.","Break learning into small steps.","Incremental learning","Stress Workbook"
sadness,mild,seasonal,"Seasonal changes can affect mood. If you notice sadness during certain seasons, consider light therapy, maintaining routines, staying social, and ensuring adequate sleep. These small adjustments can make a significant difference.","Maintain routines and stay social.","Routine maintenance","Psychology Guide"
sadness,moderate,loneliness,"Loneliness is painful but common. Reach out to others - even small connections matter. Join clubs, attend events, or reconnect with old friends. Remember that many people feel lonely, and reaching out often leads to mutual connection.","Reach out to others.","Social connection","Coping Skills PDF"
joy,mild,music,"Music has profound effects on mood. Create playlists for different emotions. When you need joy, listen to uplifting music. Consider learning to play an instrument - making music yourself adds another dimension of joy and accomplishment.","Create uplifting playlists.","Music therapy","Psychology Guide"
joy,moderate,exercise,"Physical activity releases endorphins - natural mood boosters. You don't need intense workouts; even a 20-minute walk can significantly improve mood. Find activities you enjoy so exercise feels like a reward, not a chore.","Engage in physical activity.","Endorphin release","Stress Workbook"
fear,mild,decision_making,"Decision-making anxiety is common. When paralyzed by choices, use the 'good enough' principle: choose an option that meets your criteria rather than seeking perfection. Most decisions can be adjusted later if needed.","Use 'good enough' principle.","Decision framework","Psychology Guide"
fear,moderate,rejection,"Fear of rejection can prevent us from trying. Remember that rejection is information, not a reflection of your worth. Every 'no' brings you closer to a 'yes.' The only guaranteed way to avoid rejection is to never try - and that's not living.","Rejection is information, not worth.","Reframing rejection","Coping Skills PDF"
anger,mild,perfectionism,"Perfectionism often leads to frustration and anger. Practice 'good enough' thinking. Set realistic standards. Remember that perfectionism is often fear in disguise - fear of judgment, failure, or not being enough. Address the underlying fear.","Set realistic standards.","Perfectionism management","Psychology Guide"
anger,moderate,boundaries,"Anger often signals violated boundaries. Identify what boundary was crossed and communicate it clearly: 'When X happens, I feel Y, because I need Z.' Setting boundaries protects your well-being and improves relationships.","Identify and communicate boundaries.","Boundary communication","Stress Workbook"
love,mild,gratitude,"Gratitude amplifies love. Keep a gratitude journal - write down three things you're grateful for daily. Express gratitude to others - telling someone why you appreciate them strengthens relationships and spreads positivity.","Keep a gratitude journal.","Gratitude practice","Psychology Guide"
love,moderate,forgiveness,"Forgiveness is an act of self-love. Holding onto resentment hurts you more than the other person. Forgiveness doesn't mean condoning harmful behavior - it means releasing the emotional burden so you can move forward.","Release emotional burden.","Forgiveness practice","Coping Skills PDF"
surprise,mild,learning,"Learning surprises us constantly. Embrace being wrong as an opportunity to grow. Curiosity and openness to new information keep life interesting. Remember that experts were once beginners who didn't give up.","Embrace being wrong as growth.","Growth mindset","Psychology Guide"
surprise,moderate,adaptation,"Life requires constant adaptation. When surprised by change, focus on what remains stable in your life. Your values, strengths, and support systems are constants that help you navigate any surprise.","Focus on stable elements.","Stability anchors","Stress Workbook"
sadness,mild,sleep,"Poor sleep affects mood significantly. Establish a sleep routine: same bedtime, limit screens before bed, create a calming environment. Quality sleep is foundational for emotional regulation. Prioritize rest as self-care.","Establish a sleep routine.","Sleep hygiene","Psychology Guide"
sadness,moderate,comparison,"Comparing yourself to others creates sadness. Remember that social media shows curated highlights, not reality. Focus on your own progress and journey. Everyone's path is different, and comparison steals joy from your unique experience.","Focus on your own progress.","Comparison avoidance","Coping Skills PDF"
joy,mild,accomplishment,"Celebrate your accomplishments, big and small. Acknowledge the effort you put in, not just the outcome. Create a 'wins' list you can review when feeling down. Your achievements are evidence of your capabilities and resilience.","Create a 'wins' list.","Achievement recognition","Psychology Guide"
joy,moderate,connection,"Human connection brings profound joy. Make time for meaningful conversations. Put away devices during interactions. Active listening and presence create deeper connections than surface-level socializing. Quality over quantity in relationships.","Make time for meaningful conversations.","Deep connection","Stress Workbook"
fear,mild,unknown,"Fear of the unknown is natural. Instead of trying to eliminate uncertainty, build your tolerance for it. Practice making small decisions with incomplete information. Each experience builds confidence in handling the unknown.","Build tolerance for uncertainty.","Uncertainty tolerance","Psychology Guide"
fear,moderate,control,"The need for control often masks fear. Identify what you're actually afraid of. Focus on what you can control: your responses, your actions, your boundaries. Release what you cannot control - trying to control everything creates anxiety.","Focus on what you can control.","Control management","Coping Skills PDF"
anger,mild,expectations,"Unmet expectations create anger. Examine your expectations - are they realistic? Communicate your needs clearly rather than expecting others to read your mind. Sometimes adjusting expectations prevents disappointment and anger.","Examine your expectations.","Expectation management","Psychology Guide"
anger,moderate,stress,"Stress accumulates and manifests as anger. Identify your stress sources and develop coping strategies. Regular stress management - exercise, meditation, hobbies - prevents anger from building up. Address stress before it becomes overwhelming.","Develop stress coping strategies.","Stress management","Stress Workbook"
love,mild,pets,"Pet love provides unconditional support. If you have pets, spend quality time with them - pets reduce stress and increase oxytocin. If you don't have pets, consider volunteering at an animal shelter. Animal connection is healing.","Spend quality time with pets.","Animal therapy","Psychology Guide"
love,moderate,passion,"Passion projects bring joy and meaning. Whether it's a hobby, cause, or creative pursuit, engaging with what you love energizes you. Make time for your passions - they're not luxuries, they're essential for well-being.","Make time for passions.","Passion engagement","Coping Skills PDF"
surprise,mild,serendipity,"Serendipitous moments add magic to life. Stay open to unexpected opportunities. Sometimes the best experiences come from saying 'yes' to something unexpected. Balance planning with spontaneity - both have value.","Stay open to unexpected opportunities.","Openness","Psychology Guide"
surprise,moderate,resilience,"Surprises test our resilience. Remember times you've handled unexpected challenges before - you have a history of resilience. Each surprise you navigate successfully builds confidence for future surprises. You're stronger than you think.","Remember past resilience.","Resilience building","Stress Workbook"
